experiment,image,algo,threads,bw,run,event,value,unit
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,1,cache-misses,1821190,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,1,de_no_dispatch_per_slot.backend_stalls,178949661257,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,cycles,35400119244,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,instructions,103510440999,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,l1-dcache-loads,9348087164,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,l1-dcache-load-misses,1188937124,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,cache-misses,1852135,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,2,de_no_dispatch_per_slot.backend_stalls,178665306667,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,cycles,35408314558,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,instructions,103513803651,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,l1-dcache-loads,9351387938,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,l1-dcache-load-misses,1187905223,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,cache-misses,1872780,count
scaling,Images/bsd_124084_200x133.jpg,omp,8,20,3,de_no_dispatch_per_slot.backend_stalls,178871012727,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,cycles,35820229161,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,instructions,103633559866,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,l1-dcache-loads,9387211141,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,l1-dcache-load-misses,1188981090,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,cache-misses,2298185,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,1,de_no_dispatch_per_slot.backend_stalls,179312853565,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,cycles,35595413308,count
scaling,Images/bsd_124084_200x133.jpg,omp,12,20,2,instructions,103544142416,count
