experiment,image,algo,threads,bw,run,event,value,unit
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,cache-references,209327969,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,cache-misses,1370935,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,de_no_dispatch_per_slot.backend_stalls,14209614696,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,cycles,11359440067,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,instructions,35302346855,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,l1-dcache-loads,3879030460,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,l1-dcache-load-misses,436489043,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,cache-references,489629377,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,cache-misses,1478991,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,de_no_dispatch_per_slot.backend_stalls,54795766318,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,cycles,11343437581,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,instructions,35256910504,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,l1-dcache-loads,3873693090,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,l1-dcache-load-misses,436286881,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,cache-references,494965931,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,cache-misses,1432875,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,2,de_no_dispatch_per_slot.backend_stalls,54792164541,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,cycles,11356051455,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,instructions,35239050823,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,l1-dcache-loads,3859942952,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,l1-dcache-load-misses,432433312,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,cache-references,489889378,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,cache-misses,1316756,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,3,de_no_dispatch_per_slot.backend_stalls,54958914693,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,cycles,4651268926,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,instructions,11130146015,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,l1-dcache-loads,1119276832,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,l1-dcache-load-misses,434402372,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,cache-references,511584187,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,cache-misses,1346541,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,1,de_no_dispatch_per_slot.backend_stalls,24943625030,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,cycles,4659223000,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,instructions,11150689466,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,l1-dcache-loads,1111464080,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,l1-dcache-load-misses,432048944,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,cache-references,508331942,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,cache-misses,1398548,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,2,de_no_dispatch_per_slot.backend_stalls,24930831072,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,cycles,4654395095,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,instructions,11143076577,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,l1-dcache-loads,1124069933,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,l1-dcache-load-misses,436386646,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,cache-references,514014728,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,cache-misses,1502589,count
layout,Images/bsd_76002_150x100.jpg,soa,1,20,3,de_no_dispatch_per_slot.backend_stalls,24851922844,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,cycles,12807441292,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,instructions,36404171308,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,l1-dcache-loads,5550083020,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,l1-dcache-load-misses,432586899,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,cache-references,487675450,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,cache-misses,1422530,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,1,de_no_dispatch_per_slot.backend_stalls,65386228739,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,cycles,12801643561,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,instructions,36383296166,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,l1-dcache-loads,5557070098,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,l1-dcache-load-misses,433216468,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,cache-references,490620727,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,cache-misses,1332466,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,2,de_no_dispatch_per_slot.backend_stalls,65190370593,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,cycles,12821580382,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,instructions,36419452219,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,l1-dcache-loads,5554380210,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,l1-dcache-load-misses,433352906,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,cache-references,487805384,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,cache-misses,1517183,count
layout,Images/bsd_76002_150x100.jpg,baseline,1,20,3,de_no_dispatch_per_slot.backend_stalls,65355594204,count
